32,126,21,99,65
18,109,134,95,58
53,147,45,72,27
6,75,22,37,8
48,61,4,51,27
2,106,42,106,26
9,72,20,125,14
105,129,83,103,39
75,64,25,143,110
147,86,129,47,125
69,20,74,107,48
104,72,121,4,126
9,84,58,28,85
111,25,49,48,60
1,21,101,99,115
96,11,146,90,5
146,22,13,93,48
119,26,78,7,76
54,25,54,83,74
105,22,81,75,140
76,30,52,125,63
14,127,102,143,141
48,44,22,56,10
46,71,21,91,98
72,106,39,129,105
13,124,133,149,108
86,144,72,60,103
10,120,108,57,105
37,144,65,52,89
141,77,54,150,10
44,136,13,128,34
62,140,89,148,66
130,11,80,91,1
77,107,114,42,12
90,149,13,98,14
58,126,7,41,136
7,38,29,29,95
64,29,115,128,25
33,75,80,26,74
51,81,4,86,92
131,85,118,18,121
6,8,42,42,50
117,132,60,49,122
125,19,86,42,114
129,84,85,28,114
141,112,115,133,1
82,48,29,21,6
38,72,150,29,19
136,17,116,39,133
94,22,85,112,114
144,101,107,109,60
67,92,44,117,138
128,122,91,131,120
60,115,144,137,98
85,97,83,67,25
110,59,49,104,105
125,66,124,12,125
121,140,72,56,106
106,139,106,109,52
79,5,68,144,107
103,144,35,91,126
46,33,130,15,88
24,69,140,133,13
39,38,115,86,123
41,101,145,88,13
141,97,71,8,132
54,95,136,118,149
34,49,28,144,116
12,4,2,68,53
54,18,149,18,122
7,52,74,85,42
104,127,104,102,23
2,147,74,87,21
123,7,95,31,17
115,96,23,55,118
24,118,108,19,146
150,128,20,128,130
84,12,19,29,76
51,131,27,127,66
32,5,32,88,57
149,62,135,43,75
111,116,33,92,80
131,24,33,59,86
93,8,18,58,77
145,126,71,94,39
37,140,97,138,122
87,13,97,12,39
12,88,127,69,26
118,30,36,30,128
22,53,57,43,52
71,98,131,113,111
43,20,66,54,27
34,59,128,51,118
119,121,109,105,43
74,59,145,119,136
118,75,24,21,111
74,41,38,92,123
18,58,46,76,13
137,48,117,112,82
84,150,31,32,121
46,38,61,52,94
124,90,28,56,41
121,122,103,63,57
147,101,128,19,110
53,112,65,33,90
118,126,45,82,88
136,101,72,96,101
149,55,86,3,54
62,137,5,76,69
68,56,108,30,51
51,54,146,24,102
17,104,12,18,131
36,92,42,30,67
122,11,75,84,138
23,143,132,92,37
82,76,134,21,120
132,125,35,144,2
143,66,147,91,55
77,21,102,33,112
61,55,35,6,32
98,31,2,128,17
9,131,114,50,45
8,128,74,131,8
128,21,13,45,31
43,138,127,143,94
46,12,66,27,20
122,47,147,76,72
96,96,39,143,73
38,98,30,45,20
47,107,148,34,32
26,144,42,82,137
38,16,1,44,90
78,146,140,65,90
106,2,29,70,104
76,129,19,32,72
13,1,135,105,135
14,126,45,100,10
64,91,62,105,118
55,117,3,138,109
118,146,29,73,131
88,131,32,59,13
121,142,108,98,17
75,112,139,100,134
1,54,122,10,73
72,96,130,1,64
93,106,12,46,8
107,147,120,73,103
72,5,108,50,75
65,25,18,36,72
142,54,108,150,17
128,128,60,31,118
97,20,44,141,29
62,26,5,99,39
127,93,115,82,75
99,23,96,34,84
16,145,19,12,137
30,80,14,58,119
80,1,146,140,126
29,37,36,104,134
11,139,4,98,131
145,86,108,146,41
107,53,101,100,63
149,32,91,20,34
75,11,139,4,3
29,125,148,124,27
60,122,80,43,69
129,63,84,130,2
101,64,38,50,113
54,31,106,33,140
109,48,21,101,132
43,44,108,48,131
123,33,113,90,106
91,18,27,103,99
88,37,60,92,68
82,116,103,63,7
106,115,142,39,69
107,56,69,5,149
109,68,27,70,57
45,27,48,29,84
89,23,90,130,139
7,86,65,106,133
17,141,114,64,107
134,10,106,42,38
99,141,98,44,46
147,42,62,26,126
103,13,45,100,69
84,91,26,120,103
76,73,34,39,40
98,12,34,126,106
54,133,21,49,136
17,7,81,71,61
67,46,19,39,2
14,97,114,86,101
83,29,148,3,137
139,60,79,81,77
83,88,140,144,87
148,55,22,33,43
57,147,21,36,91
145,146,129,92,54
91,118,58,11,24
36,74,84,99,2
73,42,108,40,77
79,71,25,64,30
64,13,52,64,7
57,101,4,44,32
47,72,37,104,53
110,32,148,6,84
66,101,127,14,37
26,17,94,45,135
32,131,39,12,136
47,76,52,113,109
94,119,149,70,50
107,74,126,36,137
74,121,90,115,52
91,80,40,132,121
99,33,35,116,130
100,84,5,7,149
82,13,21,143,4
142,139,97,31,93
121,40,115,103,131
94,25,73,111,119
121,127,134,134,17
12,68,47,11,33
124,8,61,27,39
70,127,90,90,66
84,133,108,58,70
9,70,118,27,123
71,66,36,17,78
33,113,68,32,63
131,135,85,9,144
27,138,43,73,61
11,138,99,75,64
18,26,12,137,123
87,79,7,31,37
2,131,58,61,15
118,4,79,103,73
46,42,141,83,149
92,53,107,3,134
122,131,23,65,53
57,81,142,8,56
35,149,94,59,4
107,106,105,148,51
28,27,9,39,91
62,28,20,84,89
134,109,26,124,118
109,5,136,12,97
21,74,36,132,128
33,56,62,128,135
66,140,14,86,65
5,75,73,146,65
