254254,240730,484896,227411
3383,278867,517169,3736
374904,3374,30054,32108
415288,328889,156298,83394
18641,59347,122331,457191
1,318743,1,2
305525,353233,219527,28693
2767,1781,11836,492103
78652,6266,241378,71735
106015,13,12,7
318691,196721,289942,23668
53687,27066,423430,315599
29490,215964,281697,319651
12,122,136283,122
188381,77744,301800,42504
79628,401446,359208,86139
86845,155842,19457,198823
45565,357218,281586,434029
482760,172367,426168,493497
13294,406698,230716,110173
163363,125437,154605,400227
2847,3191,256106,110289
48074,16793,669,154933
366270,53276,51011,74426
7,234561,9,48
149720,431366,230880,377630
235209,451251,65647,497834
382820,280069,201454,377725
315430,337152,144615,418855
1,108417,2,5
480682,460357,459892,3767
312386,312668,125446,285350
145003,420466,171805,380889
90123,177674,491819,220202
286914,476290,400479,359824
266368,19731,238902,226034
211387,322794,490423,94953
1622,330,2144,62481
262182,276367,131401,78999
164300,422343,350162,36685
386493,228145,170574,209344
127917,167661,193664,272766
330753,484727,313995,115619
467071,223794,84324,450376
92609,77931,215150,350375
371521,33103,422223,3794
190850,55229,341173,115527
366853,473291,420583,11974
279220,353414,480799,262312
68263,415505,260466,304900
438319,453951,481797,336708
478718,413508,352653,40400
259602,184455,78967,27403
343864,274930,464813,262159
482060,165068,219021,326729
357573,370440,462737,341387
6,51,449676,7
11,489781,11,234
239771,388169,427231,217482
59879,30941,462932,93760
138257,483626,424948,8245
29072,35822,463701,114167
286646,474259,46750,527567
211990,346040,82513,227977
234252,9955,150137,52341
171530,139942,288814,163376
11,6,15,75714
207599,417477,239286,77435
350720,8300,363567,63379
825,294613,143,56
403998,126817,242237,474255
4,1,238494,3
267,134,136395,111
32188,255399,235853,147298
337571,313065,234392,460445
362130,114890,459537,418336
177195,92845,378902,91699
11450,310452,382301,492819
366904,90256,430347,177273
368469,86983,236688,379596
489675,122074,304864,278379
41794,319235,66996,223760
174178,420180,4612,357285
288,5971,1933,81503
38726,397669,100307,403895
75864,97601,427502,132443
197104,98204,58491,66702
69,232949,167,20
43806,147686,90580,245001
166612,317144,465968,427394
247444,15668,249542,275761
248033,390213,331890,254758
383565,497219,285262,192423
262239,103688,454647,266018
499890,278077,388857,259274
445428,189271,34074,164908
108381,440253,145076,400279
168667,28044,109946,327472
174382,420578,381482,387515
56394,497638,36778,41248
41572,88398,104732,60902
162866,150887,172028,206503
246905,391253,94897,352586
36860,476430,184836,307635
71055,33790,210799,146289
298110,1936,6062,194
391420,1,3,60
328140,63857,18823,18125
406324,221525,317932,33980
350551,280705,50034,422860
319032,336632,38280,285638
42569,492845,486528,235129
445252,133665,224805,420760
294,2447,20851,5451
120787,432502,463337,64369
20022,350924,242615,424407
386470,345111,345130,137343
372562,116779,24955,429911
183245,247021,246319,67089
383294,160356,251210,306334
242873,85,514,425
39137,492514,425420,75788
103634,442742,456714,219722
221094,448818,480454,374488
81123,310457,355679,220857
412932,52949,142201,87224
242496,161230,416971,209864
7,4,5,295951
453666,44231,448658,64933
72408,355125,70343,485248
121461,23191,60277,416349
240701,291502,343924,479109
302587,106157,145129,12363
432180,363042,132785,279372
93635,23810,454394,286844
203165,207589,93367,437661
172373,156656,399845,38940
128922,35191,446108,391823
86252,341681,316762,418028
461890,99008,146962,43767
451286,159942,22817,297521
187597,226099,113050,353581
415176,308663,190600,206969
274374,324212,172290,223154
378325,415588,369697,124342
461945,225129,125079,413868
202375,453364,467445,40083
228248,52779,167452,480217
306332,204647,13309,333422
420313,447969,305973,170342
413594,481875,23782,134138
121899,467151,128319,438105
306238,19363,368811,252425
196624,9046,430761,62762
326049,195657,33136,428283
369391,318686,295492,328962
180241,190057,485582,445825
178762,38754,298032,87013
92162,412087,312616,117396
424467,284716,105487,374172
367143,255529,141568,340967
